file,application_number,plant_name,empty_major_sections,unmapped_blocks,unmapped_chars
2023-31777-Ponte_Gadea_California_LLC__e1520_nsr_31777_eval_010423_pdf__application_31777__eval_01.json,31777,"Ponte Gadea California, LLC",,0,0
2023-318063-MARTINEZ_REFINING_COMPANY_LLC__a0011_mrm_ierc_31806_drafteval_060223_pdf__application_318063__eval_01.json,318063,MARTINEZ REFINING COMPANY LLC,cumulative_increase; BACT; PSD_applicability; public_notification; permit_conditions,6,13958
2023-31843-UC_Hastings_School_of_the_Law__b8587_nsr_31843_eval_060823_pdf__application_31843__eval_01.json,31843,UC Hastings School of the Law,,1,1495
2023-31889-MECS_Inc__a0014_nsr_31889_eval_050523_pdf__application_31889__eval_01.json,31889,"MECS , Inc.",BACT; PSD_applicability; CEQA,6,6075
2023-31911-The_proposed_source_require_s_an_Authority_to_Construct_and_Permit_t_o_Operate_per_BAAQMD__a4782_nsr_31911_eval_081823_pdf__application_31911__eval_01.json,31911,The proposed source require s an Authority to Construct and Permit t o Operate per BAAQMD,CEQA,2,209
2023-31912-DIGITAL_720_2_ND_LLC__e0586_nsr_31912_eval_030323_pdf__application_31912__eval_01.json,31912,DIGITAL 720 2 ND LLC,PSD_applicability; CEQA; recommendation,1,381
2023-31922-South_San_Francisco_CA_94080__a1257_nsr_31922_eval_031423_pdf__application_31922__eval_01.json,31922,"South San Francisco, CA 94080",BACT; PSD_applicability; CEQA; permit_conditions,0,0
2023-31977-San_Rafael_CA_94901__b5081_nsr_31977_eval_051023_pdf__application_31977__eval_01.json,31977,"San Rafael, CA 94901",permit_conditions,1,12
2023-31981-Fairfield_CA_9_4533__a7519_nsr_31981_eval_082323_pdf__application_31981__eval_01.json,31981,"Fairfield , CA 9 4533",cumulative_increase; PSD_applicability; CEQA,0,0
2023-31986-AMAZON_DATA_SERVICES_INC__e5018_nsr_31986_eval_072723_pdf__application_31986__eval_01.json,31986,AMAZON DATA SERVICES INC,PSD_applicability; CEQA; recommendation,2,465
2023-31988-San_Rafael_CA_94901__e5284_nsr_31988_eval_082223_pdf__application_31988__eval_01.json,31988,"San Rafael, CA 94901",permit_conditions,1,12
2023-32019-San_Francisco_CA_94_110__e5287_nsr_32019_eval_042823_pdf__application_32019__eval_01.json,32019,"San Francisco , CA 94 110",PSD_applicability; CEQA; recommendation,4,1256
2023-32052-3875_Fabian_Way_Palo_Alto_CA_94_303__fid6061_nsr_32052_eval_110223_pdf__application_32052__eval_01.json,32052,"3875 Fabian Way , Palo Alto , CA 94 303",,0,0
2023-32131-Apple_Inc__fid9721_nsr_32131_eval_1027023_pdf__application_32131__eval_01.json,32131,Apple Inc.,,1,1132
2023-32143-Military_Ocean_Terminal_Concord__fid12769_nsr_32143_eval_122123_pdf__application_32143__eval_01.json,32143,Military Ocean Terminal Concord,,1,172
2023-6-Costco_Gasoline_Loc_1341__fid202990_nsr_675179_eval_090723_pdf__application_6__eval_01.json,6,Costco Gasoline (Loc. 1341),PSD_applicability,1,174
2023-6-Pacific_Oak_SOR_II_Oakland_City_Center_is_applyin_g_for_an_Authority_to_Construct_Permit_to_Operate_for_the__fid24068_nsr_682732_eval_102623_pdf__application_6__eval_01.json,6,Pacific Oak SOR II Oakland City Center is applyin g for an Authority to Construct/ Permit to Operate for the,,2,194
2023-647830-Washington_Center__fid202471_nsr_647830_eval_070623_pdf__application_647830__eval_01.json,647830,Washington Center,,1,1157
2023-653660-Marina_Village_Par_kway_Pump_Station_713_Marina_Village_PKWY__fid202597_nsr_653660_eval_061423_pdf__application_653660__eval_01.json,653660,Marina Village Par kway Pump Station - 713 Marina Village PKWY,,1,199
2023-661080-Extra_Space_Storage__fid202718_nsr_661080_eval_021023_pdf__application_661080__eval_01.json,661080,Extra Space Storage,,1,1021
2023-661443-American_Tower_8557_Antioch_CA__fid202726_nsr_661443_eval_1027023_pdf__application_661443__eval_01.json,661443,"American Tower 8557- Antioch, CA",,0,0
2023-661496-207740_Harbor_Bay__fid202729_nsr_661496_eval_012723_pdf__application_661496__eval_01.json,661496,207740- Harbor Bay,,0,0
2023-661695-Ghirardelli_Square__fid21436_nsr_661695_eval_042823_pdf__application_661695__eval_01.json,661695,Ghirardelli Square,,1,1139
2023-663096-Candlestick_Point_Bayview_Vehicle_Triage_Center__fid202754_nsr_663096_eval_012723_pdf__application_663096__eval_01.json,663096,Candlestick Point/Bayview Vehicle Triage Center,,1,1105
2023-663096-Candlestick_Point_Bayview_Vehicle_Triage_Center__fid202754_nsr_663096_eval_033023_pdf__application_663096__eval_01.json,663096,Candlestick Point/Bayview Vehicle Triage Center,,1,1113
2023-664430-Costco_Gasoline_Loc_No_848__fid202733_nsr_664430_eval_020823_pdf__application_664430__eval_01.json,664430,Costco Gasoline (Loc. No. 848),PSD_applicability,1,190
2023-664739-1001_Venture_Way__fid202771_nsr_664739_eval_060223_pdf__application_664739__eval_01.json,664739,1001 Venture Way,,1,934
2023-664972-Comcast_of_San_Leandro_Inc__fid15959_nsr_664972_eval_031023_pdf__application_664972__eval_01.json,664972,"Comcast of San Leandro, Inc",,1,1027
2023-665893-Project_Description_Sub_Slab_Depressurization_Vapor_Intrusion_Mitigation_System_s__fid202794_nsr_665893_eval_030923_pdf__application_665893__eval_01.json,665893,Project Description: Sub-Slab Depressurization /Vapor Intrusion Mitigation System s,,0,0
2023-665938-CAYMUS_SUISUN_WINERY__fid202283_nsr_665938_eval_110223_pdf__application_665938__eval_01.json,665938,CAYMUS SUISUN WINERY,,1,111
2023-666014-City_of_Alameda__fid202800_nsr_666014_eval_052323_pdf__application_666014__eval_01.json,666014,City of Alameda,,1,1131
2023-666264-Marin_Village_Pump_Station__fid202808_nsr_666264_eval_033023_pdf__application_666264__eval_01.json,666264,Marin Village Pump Station,cumulative_increase,1,1207
2023-666266-Contra_Costa_County__fid14139_nsr_666266_eval_012023_pdf__application_666266__eval_01.json,666266,Contra Costa County,,0,0
2023-666313-Beck_Campus__fid202811_nsr_666313_eval_04132023_pdf__application_666313__eval_01.json,666313,Beck Campus,,1,1021
2023-666748-GOP5__fid202823_nsr_666748_eval_032123_pdf__application_666748__eval_01.json,666748,GOP5,,1,1131
2023-666764-Las_Gallinas_Northgate__fid202825_nsr_666764_eval_0302123_pdf__application_666764__eval_01.json,666764,Las Gallinas - Northgate,,0,0
2023-666827-County_of_San_Mateo__fid14877_nsr_666827_eval_022823_pdf__application_666827__eval_01.json,666827,County of San Mateo,,1,551
2023-666860-Tasman_ASL_PropCo_LLC__fid202828_nsr_666860_eval_012723_pdf__application_666860__eval_01.json,666860,Tasman ASL PropCo LLC,,1,1127
2023-667543-GC_Micro_Corporation__fid16899_nsr_667543_eval_081823_pdf__application_667543__eval_01.json,667543,GC Micro Corporation,,0,0
2023-667577-Roosevelt_Apartments__fid202833_nsr_667577_eval_083123_pdf__application_667577__eval_01.json,667577,Roosevelt Apartments,cumulative_increase,0,0
2023-667680-T_Mobile_Oakland_Switch__fid17073_nsr_667680_eval_03229023_pdf__application_667680__eval_01.json,667680,T-Mobile - Oakland Switch,,1,1009
2023-667782-499_Forbes__fid202564_nsr_667782_eval_021523_pdf__application_667782__eval_01.json,667782,499 Forbes,,2,1146
2023-667970-The_Home_Depot_Store_1017__fid13226_nsr_667970_eval_031723_pdf__application_667970__eval_01.json,667970,The Home Depot Store #1017,,1,553
2023-669330-Martha_s_Kitchen__fid202853_nsr_669330_eval_042123_pdf__application_669330__eval_01.json,669330,Martha's Kitchen,,0,0
2023-669465-Solano_County_Facilities__fid14320_nsr_669465_eval_030923_pdf__application_669465__eval_01.json,669465,Solano County Facilities,,1,1212
2023-669468-Amtrak__fid200693_nsr_669468_eval_03212023_pdf__application_669468__eval_01.json,669468,Amtrak,,1,1017
2023-669571-Verizon_Wireless_Bridge_Main__fid202859_nsr_669571_eval_080823_pdf__application_669571__eval_01.json,669571,Verizon Wireless – Bridge Main,,1,838
2023-669800-Verizon_Wireless_Valencia_15th__fid202861_nsr_669800_eval_092023_pdf__application_669800__eval_01.json,669800,Verizon Wireless - Valencia 15th,,0,0
2023-669803-CP_Logistics_Willow_Pass__fid202863_nsr_669803_eval_011023_pdf__application_669803__eval_01.json,669803,CP Logistics Willow Pass,,0,0
2023-669835-IQHQ_SPUR_PH_1__fid202864_nsr_669835_eval_061423_pdf__application_669835__eval_01.json,669835,IQHQ – SPUR PH 1,,1,1447
2023-669907-1295_67th_Street__fid202865_nsr_669907_eval_030223_pdf__application_669907__eval_01.json,669907,1295 67th Street,,1,1214
2023-670108-1620_South_Loop_Road__fid202867_nsr_670108_eval_030323_pdf__application_670108__eval_01.json,670108,1620 South Loop Road,,1,1212
2023-670373-Redwood_Gardens_Apartments__fid202874_nsr_670373_eval_03312023_pdf__application_670373__eval_01.json,670373,Redwood Gardens Apartments,,1,1221
2023-670403-CLPF_GRP_Uptown_Menlo_Park__fid202879_nsr_670403_eval_040723_pdf__application_670403__eval_01.json,670403,CLPF GRP Uptown Menlo Park,,1,566
2023-672021-SF470_Bodega_Bay__fid202890_nsr_672021_eval_062323_pdf__application_672021__eval_01.json,672021,SF470 Bodega Bay,,0,0
2023-672028-West_Street_Warehouse__fid202891_nsr_672028_eval_03212023_pdf__application_672028__eval_01.json,672028,West Street Warehouse,,1,1021
2023-672083-City_of_Hayward_Hayward_Fire_Station_6__fid107807_nsr_672083_eval_033023_pdf__application_672083__eval_01.json,672083,City of Hayward - Hayward Fire Station #6,,1,1021
2023-672133-T_Mobile_BA60103S__fid202894_nsr_672133_eval_080423_pdf__application_672133__eval_01.json,672133,T-Mobile - BA60103S,,1,198
2023-672163-T_Mobile_BA62012S__fid202896_nsr_672163_eval_053123_pdf__application_672163__eval_01.json,672163,T-Mobile - BA62012S,,1,1024
2023-672182-T_Mobile_BA61228S__fid202898_nsr_672182_eval_061623_pdf__application_672182__eval_01.json,672182,T-Mobile - BA61228S,,1,1220
2023-672206-3E_Company_Regulatory_Dept_C_O_Home_Depot_6603__fid17710_nsr_672206_eval_042123_pdf__application_672206__eval_01.json,672206,3E Company/Regulatory Dept C/O Home Depot #6603,,2,1174
2023-672234-T_Mobile_BA62069S__fid202906_nsr_672234_eval_070723_pdf__application_672234__eval_01.json,672234,T-Mobile- BA62069S,PSD_applicability; CEQA; recommendation,1,1133
2023-672456-County_of_San_Mateo_DPW__fid14813_nsr_672456_eval_061523_pdf__application_672456__eval_01.json,672456,County of San Mateo DPW,,1,1214
2023-672567-Former_Norton_Industries__fid202921_nsr_672567_eval_042723_pdf__application_672567__eval_01.json,672567,Former Norton Industries,PSD_applicability,0,0
2023-672676-Parr_Blvd_Richmond_Parkway_Building_1__fid202924_nsr_672676_eval_072823_pdf__application_672676__eval_01.json,672676,Parr Blvd. & Richmond Parkway Building 1,,0,0
2023-672680-Project_Description_Soil_Vapor_Extraction_System__fid202925_nsr_672680_eval_081623_pdf__application_672680__eval_01.json,672680,Project Description: Soil Vapor Extraction System,,0,0
2023-672704-FACTORY_STORE__fid202926_nsr_672704_eval_101223_pdf__application_672704__eval_01.json,672704,FACTORY STORE,,1,91
2023-673521-2895_Seventh_Street__fid202933_nsr_673521_eval_053123_pdf__application_673521__eval_01.json,673521,2895 Seventh Street,,1,549
2023-673547-Edison_Technology_Park_MP_LP__fid202934_nsr_673547_eval_092923_pdf__application_673547__eval_01.json,673547,"Edison Technology Park, MP, LP",,1,959
2023-673565-Spear_Street_Corridor_LLC_c_o_JLL__fid14025_nsr_673565_eval_081823_pdf__application_673565__eval_01.json,673565,Spear Street Corridor LLC c/o JLL,,0,0
2023-673638-Mountain_View_Whisman_School_District_Stevenson_Elementary__fid201345_nsr_673638_eval_030823_pdf__application_673638__eval_01.json,673638,Mountain View Whisman School District - Stevenson Elementary,,0,0
2023-673762-Town_of_Danville__fid202937_nsr_673762_eval_042023_pdf__application_673762__eval_01.json,673762,Town of Danville,,0,0
2023-673840-1415_Foothill_Site__fid202939_nsr_673840_eval_021723_pdf__application_673840__eval_01.json,673840,1415 Foothill Site,PSD_applicability; CEQA,1,178
2023-673950-Wong_Tower__fid202943_nsr_673950_eval_111623_pdf__application_673950__eval_01.json,673950,Wong Tower,,1,1136
2023-673984-Z_Best_Compost_Hwy_25__fid202949_nsr_673984_eval_04132023_pdf__application_673984__eval_01.json,673984,Z-Best Compost (Hwy 25),,1,710
2023-673987-Albany_Village_Graduate_Student_Housing__fid202951_nsr_673987_eval_060123_pdf__application_673987__eval_01.json,673987,Albany Village Graduate Student Housing,,1,1057
2023-674021-Project_Description_Sub_Slab_Depressurization_Vapor_Intrusion_Mitigation_System_s__fid202956_nsr_674021_eval_042723_pdf__application_674021__eval_01.json,674021,Project Description: Sub-Slab Depressurization /Vapor Intrusion Mitigation System s,,0,0
2023-674172-Redwood_Bay_Biotech__fid202964_nsr_674172_eval_050523_pdf__application_674172__eval_01.json,674172,Redwood Bay Biotech,,0,0
2023-674273-The_Landing__fid202969_nsr_674273_eval_081823_pdf__application_674273__eval_01.json,674273,The Landing,CEQA,1,1030
2023-675099-Southline_Phase_1_Building_1__fid202972_nsr_675099_eval_081723_pdf__application_675099__eval_01.json,675099,Southline Phase 1 Building 1,,0,0
2023-675131-24493_Clawiter_Road__fid202974_nsr_675131_eval_060923_pdf__application_675131__eval_01.json,675131,24493 Clawiter Road,,1,1018
2023-675160-750_Gateway_Boulevard__fid202977_nsr_675160_eval_051923_pdf__application_675160__eval_01.json,675160,750 Gateway Boulevard,,1,1019
2023-675165-Country_Manor_Lift_Station_SLS_10__fid202980_nsr_675165_eval_090723_pdf__application_675165__eval_01.json,675165,Country Manor Lift Station SLS -10,,1,1059
2023-675204-750_El_Camino_Real_Lab_Space_Realty__fid202991_nsr_675204_eval_061623_pdf__application_675204__eval_01.json,675204,"750 El Camino Real, Lab Space Realty",,1,1213
2023-675219-Berkeley_Commons__fid202992_nsr_675219_eval_092923_pdf__application_675219__eval_01.json,675219,Berkeley Commons,,1,964
2023-675260-Santa_Rosa_Jr_College_Campus_SRJC__fid21386_nsr_675260_eval_051923_pdf__application_675260__eval_01.json,675260,Santa Rosa Jr. College Campus (SRJC),,0,0
2023-675311-Morgan_Hill_Senior_Housing__fid202999_nsr_675311_eval_063023_pdf__application_675311__eval_01.json,675311,Morgan Hill Senior Housing,,1,1017
2023-675430-7200_Bancroft__fid203007_nsr_675430_eval_101923_pdf__application_675430__eval_01.json,675430,7200 Bancroft,PSD_applicability,0,0
2023-675632-TI_Lot_10_LLC__fid203015_nsr_675632_eval_081723_pdf__application_675632__eval_01.json,675632,"TI Lot 10, LLC",,0,0
2023-676820-BA01351A_PL351_Kirker_Pass_Rd__fid203043_nsr_676820_eval_081723_pdf__application_676820__eval_01.json,676820,BA01351A - PL351 Kirker Pass Rd,,1,1147
2023-676886-The_Surgery_Center__fid203049_nsr_676886_eval_092223_pdf__application_676886__eval_01.json,676886,The Surgery Center,,1,1021
2023-676892-Target_Store_T1426__fid203048_nsr_676892_eval_053123_pdf__application_676892__eval_01.json,676892,Target Store – T1426,BACT,1,2786
2023-677006-Fairfield_Industrial_Center_is_applyin_g_for_an_Authority_to_Construct_Permit_to_Operate_for_the_following__fid203017_nsr_677006_eval_063023_pdf__application_677006__eval_01.json,677006,Fairfield Industrial Center is applyin g for an Authority to Construct/Permit to Operate for the following,PSD_applicability; recommendation,6,4329
2023-677074-Operate_for_the_following_equipment__fid203064_nsr_677074_eval_081723_pdf__application_677074__eval_01.json,677074,Operate for the following equipment:,CEQA,1,155
2023-677349-WOODSIDE_FIRE_DEPT_RICK_LOMBARDO_111202__fid111202_nsr_677349_eval_082123_pdf__application_677349__eval_01.json,677349,WOODSIDE FIRE DEPT (RICK LOMBARDO) #111202,,0,0
2023-677376-Tasman_East_The_Station__fid203083_nsr_677376_eval_080423_pdf__application_677376__eval_01.json,677376,Tasman East – The Station,,0,0
2023-677785-City_of_Antioch_River_Pump_Station__fid203110_nsr_677785_eval_091523_pdf__application_677785__eval_01.json,677785,City of Antioch - River Pump Station,,2,612
2023-678704-BHOGC_2225_Bayshore_Owner_LLC__fid203115_nsr_678704_eval_102023_pdf__application_678704__eval_01.json,678704,BHOGC 2225 Bayshore Owner LLC,,0,0
2023-678879-Chefs_Warehouse__fid203120_nsr_678879_eval_090723_pdf__application_678879__eval_01.json,678879,Chefs Warehouse,,1,941
2023-678886-City_of_Antioch_Water_Treatment_Plant__fid203121_nsr_678886_eval_121523_pdf__application_678886__eval_01.json,678886,City of Antioch Water Treatment Plant,,1,1382
2023-679129-T_Mobile_PG_E_South_Richmond_SF7025M__fid203130_nsr_679129_eval_081123_pdf__application_679129__eval_01.json,679129,"T-Mobile – PG&E, South Richmond | SF7025M",,0,0
2023-67945-Ceatrice_Polite_Apts__fid19987_nsr_679453_eval_101723_pdf__application_67945__eval_01.json,67945,Ceatrice Polite Apts,,0,0
2023-679552-Santa_Clara_County_Office_of_Education__fid202571_nsr_679552_eval_100523_pdf__application_679552__eval_01.json,679552,Santa Clara County Office of Education,,1,1244
2023-680689-PG_III_250_East_Grand_LLC__fid203158_nsr_680689_eval_101223_pdf__application_680689__eval_01.json,680689,"PG III 250 East Grand, LLC",,1,1136
2023-680752-Circraft_Inc__fid203162_nsr_680752_eval_080423_pdf__application_680752__eval_01.json,680752,"Circraft, Inc.",public_notification,0,0
2023-680755-Logisticenter_At_Enterprise__fid203161_nsr_680755_eval_081123_pdf__application_680755__eval_01.json,680755,Logisticenter At Enterprise,,1,1172
2023-681163-Silicon_Valley_Clean_Water_Redwood_City_Pump_Station__fid14036_nsr_681163_eval_092923_pdf__application_681163__eval_01.json,681163,"Silicon Valley Clean Water, Redwood City Pump Station",,1,1202
2023-682485-Target_Store_T_0737__fid17434_nsr_682485_eval_060923_pdf__application_682485__eval_01.json,682485,Target Store T -0737,PSD_applicability; CEQA,1,165
2023-682739-Pacific_Gas_and_Electric_Company__fid3172_nsr_682739_eval_082332_pdf__application_682739__eval_01.json,682739,Pacific Gas and Electric Company,,0,0
2023-682990-American_Red_Cross__fid203216_nsr_682990_eval_083023_pdf__application_682990__eval_01.json,682990,American Red Cross,,1,1211
2023-683026-Anirudh_Devgan__fid203219_nsr_683026_eval_091223_pdf__application_683026__eval_01.json,683026,Anirudh Devgan,PSD_applicability; CEQA,1,160
2023-683201-Target_Store_T0324__fid203223_nsr_683201_eval_101923_pdf__application_683201__eval_01.json,683201,Target Store – T0324,,1,1131
2023-683974-Facility_No_24188__fid24188_nsr_683974_eval_122223_pdf__application_683974__eval_01.json,683974,Facility No. 24188,cumulative_increase; PSD_applicability,7,9386
2023-684403-Bolinas_Stinson_School_District__fid203235_nsr_684403_eval_092923_pdf__application_684403__eval_01.json,684403,Bolinas Stinson School District,PSD_applicability; CEQA,1,170
2023-686078-Aspen_Wood_s_Apartments__fid203268_nsr_686078_eval_102523_pdf__application_686078__eval_01.json,686078,Aspen Wood s Apartments,PSD_applicability; CEQA,1,164
2023-686376-Geyserville_Well_3__fid203280_nsr_686376_eval_083023_pdf__application_686376__eval_01.json,686376,Geyserville Well 3,cumulative_increase,1,710
2023-686579-Leya__fid203286_nsr_686579_eval_092023_pdf__application_686579__eval_01.json,686579,Leya,PSD_applicability; CEQA,1,158
2023-689702-Jefferson_Car_Wash__fid109648_nsr_689702_eval_1114023_pdf__application_689702__eval_01.json,689702,Jefferson Car Wash,PSD_applicability,1,174
